sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
-1,ts-auth-service,POST,192.168.224.1,200,277
0,ts-route-service,GET,192.168.224.1,200,176
1,ts-route-service,POST,192.168.224.1,500,46
2,ts-route-service,POST,192.168.224.1,500,13
3,ts-route-service,POST,192.168.224.1,500,12
4,ts-route-service,POST,192.168.224.1,500,10
5,ts-route-service,POST,192.168.224.1,500,11
6,ts-route-service,POST,192.168.224.1,500,11
7,ts-route-service,POST,192.168.224.1,500,12
8,ts-route-service,POST,192.168.224.1,500,9
9,ts-route-service,POST,192.168.224.1,500,10
10,ts-route-service,POST,192.168.224.1,500,9
11,ts-route-service,POST,192.168.224.1,500,10
12,ts-route-service,GET,192.168.224.1,200,11
13,ts-route-service,GET,192.168.224.1,200,10
14,ts-route-service,DELETE,192.168.224.1,200,18
15,ts-route-service,DELETE,192.168.224.1,405,22
16,ts-route-service,GET,192.168.224.1,200,13
17,ts-route-service,GET,192.168.224.1,200,9
18,ts-route-service,GET,192.168.224.1,200,8
19,ts-route-service,GET,192.168.224.1,200,9
20,ts-route-service,GET,192.168.224.1,200,7
21,ts-route-service,GET,192.168.224.1,403,15
22,ts-route-service,GET,192.168.224.1,403,8
23,ts-route-service,GET,192.168.224.1,403,8
24,ts-route-service,GET,192.168.224.1,403,7
25,ts-route-service,GET,192.168.224.1,403,9
26,ts-route-service,GET,192.168.224.1,403,8
27,ts-route-service,GET,192.168.224.1,403,8
28,ts-route-service,GET,192.168.224.1,403,7
29,ts-route-service,GET,192.168.224.1,403,7
30,ts-route-service,GET,192.168.224.1,403,6
31,ts-route-service,GET,192.168.224.1,403,9
32,ts-route-service,GET,192.168.224.1,403,8
33,ts-route-service,GET,192.168.224.1,403,7
34,ts-route-service,GET,192.168.224.1,403,7
35,ts-route-service,GET,192.168.224.1,403,7
36,ts-route-service,GET,192.168.224.1,403,7
37,ts-route-service,GET,192.168.224.1,403,6
38,ts-route-service,GET,192.168.224.1,403,7
39,ts-route-service,GET,192.168.224.1,403,6
40,ts-route-service,GET,192.168.224.1,403,7
41,ts-route-service,GET,192.168.224.1,500,10
42,ts-route-service,PUT,192.168.224.1,500,8
43,ts-route-service,POST,192.168.224.1,500,6
44,ts-route-service,DELETE,192.168.224.1,500,8
45,ts-route-service,PATCH,192.168.224.1,0,0
46,ts-route-service,HEAD,192.168.224.1,500,9
48,ts-route-service,GET,192.168.224.1,200,15
49,ts-route-service,GET,192.168.224.1,200,6
50,ts-route-service,GET,192.168.224.1,403,8
51,ts-route-service,GET,192.168.224.1,403,8
52,ts-route-service,GET,192.168.224.1,403,7
53,ts-route-service,GET,192.168.224.1,403,7
54,ts-route-service,GET,192.168.224.1,200,9
55,ts-route-service,GET,192.168.224.1,200,5
56,ts-route-service,GET,192.168.224.1,403,6
57,ts-route-service,GET,192.168.224.1,403,6
58,ts-route-service,GET,192.168.224.1,403,7
59,ts-route-service,GET,192.168.224.1,403,7
60,ts-route-service,POST,192.168.224.1,403,7
61,ts-route-service,POST,192.168.224.1,405,6
62,ts-route-service,GET,192.168.224.1,403,7
63,ts-route-service,GET,192.168.224.1,403,10
64,ts-route-service,GET,192.168.224.1,403,6
65,ts-route-service,GET,192.168.224.1,403,8
66,ts-route-service,GET,192.168.224.1,403,6
67,ts-route-service,GET,192.168.224.1,403,7
68,ts-route-service,GET,192.168.224.1,403,6
69,ts-route-service,GET,192.168.224.1,403,6
70,ts-security-service,GET,192.168.224.1,200,175
71,ts-security-service,PUT,192.168.224.1,400,42
72,ts-security-service,PUT,192.168.224.1,400,17
73,ts-security-service,PUT,192.168.224.1,200,11
74,ts-security-service,PUT,192.168.224.1,200,9
75,ts-security-service,PUT,192.168.224.1,200,10
76,ts-security-service,PUT,192.168.224.1,400,10
77,ts-security-service,PUT,192.168.224.1,200,10
78,ts-security-service,POST,192.168.224.1,400,11
79,ts-security-service,POST,192.168.224.1,400,10
80,ts-security-service,POST,192.168.224.1,200,11
81,ts-security-service,POST,192.168.224.1,200,12
82,ts-security-service,POST,192.168.224.1,400,9
83,ts-security-service,POST,192.168.224.1,400,9
84,ts-security-service,POST,192.168.224.1,200,11
85,ts-order-service,GET,192.168.224.6,500,180
85,ts-security-service,GET,192.168.224.1,500,276
86,ts-security-service,GET,192.168.224.1,200,10
87,ts-security-service,DELETE,192.168.224.1,500,12
88,ts-security-service,DELETE,192.168.224.1,405,14
89,ts-security-service,GET,192.168.224.1,200,7
90,ts-security-service,GET,192.168.224.1,403,10
91,ts-security-service,GET,192.168.224.1,403,8
92,ts-security-service,GET,192.168.224.1,403,6
93,ts-security-service,GET,192.168.224.1,403,8
94,ts-security-service,GET,192.168.224.1,403,9
95,ts-security-service,GET,192.168.224.1,403,8
96,ts-security-service,GET,192.168.224.1,403,6
97,ts-security-service,GET,192.168.224.1,403,7
98,ts-security-service,GET,192.168.224.1,403,8
99,ts-security-service,GET,192.168.224.1,403,6
100,ts-security-service,GET,192.168.224.1,403,7
101,ts-security-service,GET,192.168.224.1,403,7
102,ts-security-service,GET,192.168.224.1,403,7
103,ts-security-service,GET,192.168.224.1,403,6
104,ts-security-service,GET,192.168.224.1,403,7
105,ts-security-service,GET,192.168.224.1,403,8
106,ts-security-service,GET,192.168.224.1,403,6
107,ts-security-service,GET,192.168.224.1,403,7
108,ts-security-service,GET,192.168.224.1,403,8
109,ts-security-service,GET,192.168.224.1,403,6
110,ts-security-service,GET,192.168.224.1,500,8
111,ts-security-service,PUT,192.168.224.1,500,12
112,ts-security-service,POST,192.168.224.1,500,7
113,ts-security-service,DELETE,192.168.224.1,500,7
114,ts-security-service,PATCH,192.168.224.1,0,0
115,ts-security-service,HEAD,192.168.224.1,500,8
117,ts-security-service,GET,192.168.224.1,200,15
118,ts-security-service,GET,192.168.224.1,200,6
119,ts-security-service,GET,192.168.224.1,403,6
120,ts-security-service,GET,192.168.224.1,403,7
121,ts-security-service,GET,192.168.224.1,403,7
122,ts-security-service,GET,192.168.224.1,403,7
123,ts-security-service,GET,192.168.224.1,200,10
124,ts-security-service,GET,192.168.224.1,200,6
