sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
-1,ts-auth-service,POST,172.24.0.1,200,275
-1,ts-notification-service,GET,172.24.0.1,503,21052
0,ts-route-service,GET,172.24.0.1,200,197
1,ts-route-service,POST,172.24.0.1,500,55
2,ts-route-service,POST,172.24.0.1,500,16
3,ts-route-service,POST,172.24.0.1,500,15
4,ts-route-service,POST,172.24.0.1,500,12
5,ts-route-service,POST,172.24.0.1,500,12
6,ts-route-service,POST,172.24.0.1,500,13
7,ts-route-service,POST,172.24.0.1,500,13
8,ts-route-service,POST,172.24.0.1,500,11
9,ts-route-service,POST,172.24.0.1,500,11
10,ts-route-service,POST,172.24.0.1,500,12
11,ts-route-service,POST,172.24.0.1,500,9
12,ts-route-service,GET,172.24.0.1,200,11
13,ts-route-service,GET,172.24.0.1,200,11
14,ts-route-service,DELETE,172.24.0.1,200,16
15,ts-route-service,DELETE,172.24.0.1,405,25
16,ts-route-service,GET,172.24.0.1,200,14
17,ts-route-service,GET,172.24.0.1,200,10
18,ts-route-service,GET,172.24.0.1,200,9
19,ts-route-service,GET,172.24.0.1,200,9
20,ts-route-service,GET,172.24.0.1,200,8
21,ts-route-service,GET,172.24.0.1,403,14
22,ts-route-service,GET,172.24.0.1,403,8
23,ts-route-service,GET,172.24.0.1,403,9
24,ts-route-service,GET,172.24.0.1,403,8
25,ts-route-service,GET,172.24.0.1,403,11
26,ts-route-service,GET,172.24.0.1,403,7
27,ts-route-service,GET,172.24.0.1,403,8
28,ts-route-service,GET,172.24.0.1,403,9
29,ts-route-service,GET,172.24.0.1,403,9
30,ts-route-service,GET,172.24.0.1,403,8
31,ts-route-service,GET,172.24.0.1,403,8
32,ts-route-service,GET,172.24.0.1,403,8
33,ts-route-service,GET,172.24.0.1,403,6
34,ts-route-service,GET,172.24.0.1,403,8
35,ts-route-service,GET,172.24.0.1,403,9
36,ts-route-service,GET,172.24.0.1,403,8
37,ts-route-service,GET,172.24.0.1,403,11
38,ts-route-service,GET,172.24.0.1,403,8
39,ts-route-service,GET,172.24.0.1,403,7
40,ts-route-service,GET,172.24.0.1,403,7
41,ts-route-service,GET,172.24.0.1,500,10
42,ts-route-service,PUT,172.24.0.1,500,8
43,ts-route-service,POST,172.24.0.1,500,6
44,ts-route-service,DELETE,172.24.0.1,500,8
45,ts-route-service,PATCH,172.24.0.1,0,0
46,ts-route-service,HEAD,172.24.0.1,500,12
48,ts-route-service,GET,172.24.0.1,200,16
49,ts-route-service,GET,172.24.0.1,200,6
50,ts-route-service,GET,172.24.0.1,403,7
51,ts-route-service,GET,172.24.0.1,403,8
52,ts-route-service,GET,172.24.0.1,403,6
53,ts-route-service,GET,172.24.0.1,403,6
54,ts-route-service,GET,172.24.0.1,200,12
55,ts-route-service,GET,172.24.0.1,200,7
56,ts-route-service,GET,172.24.0.1,403,7
57,ts-route-service,GET,172.24.0.1,403,8
58,ts-route-service,GET,172.24.0.1,403,7
59,ts-route-service,GET,172.24.0.1,403,8
60,ts-route-service,POST,172.24.0.1,403,7
61,ts-route-service,POST,172.24.0.1,405,9
62,ts-route-service,GET,172.24.0.1,403,7
63,ts-route-service,GET,172.24.0.1,403,8
64,ts-route-service,GET,172.24.0.1,403,8
65,ts-route-service,GET,172.24.0.1,403,10
66,ts-route-service,GET,172.24.0.1,403,9
67,ts-route-service,GET,172.24.0.1,403,7
68,ts-route-service,GET,172.24.0.1,403,6
69,ts-route-service,GET,172.24.0.1,403,6
70,ts-security-service,GET,172.24.0.1,200,204
71,ts-security-service,PUT,172.24.0.1,400,42
72,ts-security-service,PUT,172.24.0.1,400,13
73,ts-security-service,PUT,172.24.0.1,200,13
74,ts-security-service,PUT,172.24.0.1,200,11
75,ts-security-service,PUT,172.24.0.1,400,11
76,ts-security-service,PUT,172.24.0.1,400,12
77,ts-security-service,PUT,172.24.0.1,200,10
78,ts-security-service,POST,172.24.0.1,400,12
79,ts-security-service,POST,172.24.0.1,400,10
80,ts-security-service,POST,172.24.0.1,200,10
81,ts-security-service,POST,172.24.0.1,200,11
82,ts-security-service,POST,172.24.0.1,400,9
83,ts-security-service,POST,172.24.0.1,400,8
84,ts-security-service,POST,172.24.0.1,200,10
85,ts-order-service,GET,172.24.0.24,500,187
85,ts-security-service,GET,172.24.0.1,500,300
86,ts-security-service,GET,172.24.0.1,200,15
87,ts-security-service,DELETE,172.24.0.1,500,14
88,ts-security-service,DELETE,172.24.0.1,405,16
