sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
85,ts-order-service,GET,192.168.224.32,500,186
85,ts-security-service,GET,192.168.224.1,500,288
86,ts-security-service,GET,192.168.224.1,200,12
87,ts-security-service,DELETE,192.168.224.1,500,13
88,ts-security-service,DELETE,192.168.224.1,405,15
89,ts-security-service,GET,192.168.224.1,200,8
90,ts-security-service,GET,192.168.224.1,403,15
91,ts-security-service,GET,192.168.224.1,403,9
92,ts-security-service,GET,192.168.224.1,403,8
93,ts-security-service,GET,192.168.224.1,403,8
94,ts-security-service,GET,192.168.224.1,403,8
95,ts-security-service,GET,192.168.224.1,403,9
96,ts-security-service,GET,192.168.224.1,403,8
97,ts-security-service,GET,192.168.224.1,403,8
98,ts-security-service,GET,192.168.224.1,403,8
99,ts-security-service,GET,192.168.224.1,403,8
100,ts-security-service,GET,192.168.224.1,403,7
101,ts-security-service,GET,192.168.224.1,403,8
102,ts-security-service,GET,192.168.224.1,403,8
103,ts-security-service,GET,192.168.224.1,403,7
104,ts-security-service,GET,192.168.224.1,403,9
105,ts-security-service,GET,192.168.224.1,403,8
106,ts-security-service,GET,192.168.224.1,403,8
107,ts-security-service,GET,192.168.224.1,403,7
108,ts-security-service,GET,192.168.224.1,403,6
109,ts-security-service,GET,192.168.224.1,403,7
110,ts-security-service,GET,192.168.224.1,500,7
111,ts-security-service,PUT,192.168.224.1,500,6
112,ts-security-service,POST,192.168.224.1,500,7
113,ts-security-service,DELETE,192.168.224.1,500,10
114,ts-security-service,PATCH,192.168.224.1,0,0
115,ts-security-service,HEAD,192.168.224.1,500,9
117,ts-security-service,GET,192.168.224.1,200,17
118,ts-security-service,GET,192.168.224.1,200,5
119,ts-security-service,GET,192.168.224.1,403,6
120,ts-security-service,GET,192.168.224.1,403,9
121,ts-security-service,GET,192.168.224.1,403,8
122,ts-security-service,GET,192.168.224.1,403,7
123,ts-security-service,GET,192.168.224.1,200,10
124,ts-security-service,GET,192.168.224.1,200,5
125,ts-security-service,GET,192.168.224.1,403,7
126,ts-security-service,GET,192.168.224.1,403,8
127,ts-security-service,GET,192.168.224.1,403,8
128,ts-security-service,GET,192.168.224.1,403,7
129,ts-security-service,POST,192.168.224.1,403,8
130,ts-security-service,POST,192.168.224.1,405,8
131,ts-security-service,GET,192.168.224.1,403,7
132,ts-security-service,GET,192.168.224.1,403,6
133,ts-security-service,GET,192.168.224.1,403,7
134,ts-security-service,GET,192.168.224.1,403,6
135,ts-security-service,GET,192.168.224.1,403,11
136,ts-security-service,GET,192.168.224.1,403,6
137,ts-security-service,GET,192.168.224.1,403,7
138,ts-security-service,GET,192.168.224.1,403,7
139,ts-order-service,GET,192.168.224.1,200,52
140,ts-order-service,PUT,192.168.224.1,400,36
141,ts-order-service,PUT,192.168.224.1,400,11
142,ts-order-service,PUT,192.168.224.1,400,10
143,ts-order-service,PUT,192.168.224.1,400,13
144,ts-order-service,PUT,192.168.224.1,400,10
